Madár_id;Felhasználó;Típus;Központ;Gyûrû;Jelentett faj;Jelentett faj latin;Ivar;Dátum
5908720;Példa Laci;Visszafogás;Budapest;P106303   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.18
5908725;Példa Laci;Visszafogás;Budapest;P106308   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.16
5908729;Példa Laci;Visszafogás;Budapest;P106312   ;Fülemülesitke;Acrocephalus melanopogon;Ismeretlen;2019.08.20
5908896;Példa Laci;Visszafogás;Budapest;P106480   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.18
5908903;Példa Laci;Visszafogás;Budapest;P106487   ;Nádi tücsökmadár;Locustella luscinioides;Ismeretlen;2019.08.20
5909207;Példa Laci;Visszafogás;Budapest;P106791   ;Fülemülesitke;Acrocephalus melanopogon;Ismeretlen;2019.08.25
5843720;Példa Laci;Visszafogás;Budapest;P193356   ;Kék cinege;Parus caeruleus;Tojó;2019.08.17
5843720;Példa Laci;Visszafogás;Budapest;P193356   ;Kék cinege;Parus caeruleus;Tojó;2019.08.19
5843720;Példa Laci;Visszafogás;Budapest;P193356   ;Kék cinege;Parus caeruleus;Tojó;2019.08.20
5909901;Példa Laci;Kézrekerülés;Budapest;RE08997   ;Bakcsó;Nycticorax nycticorax;Ismeretlen;2019.08.23
5851747;Példa Laci;Visszafogás;Budapest;TA03516   ;Nagy fakopáncs;Dendrocopos major;Hím;2019.08.18
5909936;Példa Laci;Visszafogás;Budapest;TA03542   ;Fekete rigó;Turdus merula;Tojó;2019.08.18
5857331;Példa Laci;Visszafogás;Budapest;XB13675   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.17
5857350;Példa Laci;Visszafogás;Budapest;XB13677   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.18
5910975;Példa Laci;Visszafogás;Budapest;XB16213   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.20
5910978;Példa Laci;Visszafogás;Budapest;XB16216   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.24
5911012;Példa Laci;Visszafogás;Budapest;XB16250   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.17
5911016;Példa Laci;Visszafogás;Budapest;XB16254   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.23
5911020;Példa Laci;Visszafogás;Budapest;XB16258   ;Nádirigó;Acrocephalus arundinaceus;Tojó;2019.08.18
5911027;Példa Laci;Visszafogás;Budapest;XB16265   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.16
5911027;Példa Laci;Visszafogás;Budapest;XB16265   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.19
5911030;Példa Laci;Visszafogás;Budapest;XB16268   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.20
5911030;Példa Laci;Visszafogás;Budapest;XB16268   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.24
5911030;Példa Laci;Visszafogás;Budapest;XB16268   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.25
5911031;Példa Laci;Visszafogás;Budapest;XB16269   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.22
5911041;Példa Laci;Visszafogás;Budapest;XB16279   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.17
5911063;Példa Laci;Visszafogás;Budapest;XB16300   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.21
5829872;Példa Fanni;Gyûrûzés;Budapest;W561457   ;Ökörszem;Troglodytes troglodytes;Ismeretlen;2019.03.28
5829873;Példa Fanni;Gyûrûzés;Budapest;W561458   ;Csilpcsalpfüzike;Phylloscopus collybita;Ismeretlen;2019.03.28
5829874;Példa Fanni;Gyûrûzés;Budapest;W561459   ;Ökörszem;Troglodytes troglodytes;Ismeretlen;2019.03.28
5829875;Példa Fanni;Gyûrûzés;Budapest;W561460   ;Csilpcsalpfüzike;Phylloscopus collybita;Ismeretlen;2019.03.28
5829876;Példa Fanni;Gyûrûzés;Budapest;W561461   ;Õszapó;Aegithalos caudatus;Ismeretlen;2019.03.28
5829877;Példa Fanni;Gyûrûzés;Budapest;W561462   ;Õszapó;Aegithalos caudatus;Ismeretlen;2019.03.28
5829878;Példa Fanni;Gyûrûzés;Budapest;P105375   ;Vörösbegy;Erithacus rubecula;Ismeretlen;2019.03.28
5829879;Példa Fanni;Gyûrûzés;Budapest;P105376   ;Vörösbegy;Erithacus rubecula;Ismeretlen;2019.03.28
5829880;Példa Fanni;Gyûrûzés;Budapest;P105377   ;Erdei szürkebegy;Prunella modularis;Ismeretlen;2019.03.28
5829881;Példa Fanni;Gyûrûzés;Budapest;P105378   ;Erdei pinty;Fringilla coelebs;Ismeretlen;2019.03.29
5829882;Példa Fanni;Gyûrûzés;Budapest;P105379   ;Vörösbegy;Erithacus rubecula;Ismeretlen;2019.03.29
5829883;Példa Fanni;Gyûrûzés;Budapest;P105380   ;Vörösbegy;Erithacus rubecula;Ismeretlen;2019.03.29
5848256;Példa Fanni;Gyûrûzés;Budapest;P105514   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.11
5848262;Példa Fanni;Gyûrûzés;Budapest;P105515   ;Énekes nádiposzáta;Acrocephalus palustris;Ismeretlen;2019.06.11
5848270;Példa Fanni;Gyûrûzés;Budapest;P105516   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.11
5848275;Példa Fanni;Gyûrûzés;Budapest;P105517   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.11
5848280;Példa Fanni;Gyûrûzés;Budapest;P105518   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.11
5848285;Példa Fanni;Gyûrûzés;Budapest;P105519   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Hím;2019.06.11
5642068;Példa Fanni;Visszafogás;Budapest;K749035   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Tojó;2019.06.11
5834260;Példa Fanni;Visszafogás;Budapest;XB13632   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.06.11
5576730;Példa Fanni;Visszafogás;Budapest;K745607   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.11
4878599;Példa Fanni;Visszafogás;Budapest;K451721   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.06.11
5907577;Példa Fanni;Gyûrûzés;Budapest;HA29319   ;Zöld küllõ;Picus viridis;Tojó;2019.09.14
5907578;Példa Fanni;Gyûrûzés;Budapest;HA29320   ;Zöld küllõ;Picus viridis;Tojó;2019.09.14
5907579;Példa Fanni;Gyûrûzés;Budapest;HA29321   ;Vadgerle;Streptopelia turtur;Ismeretlen;2019.09.14
5908316;Példa Fanni;Gyûrûzés;Budapest;N261901   ;Kis fakopáncs;Dendrocopos minor;Hím;2019.09.14
5909859;Példa Fanni;Gyûrûzés;Budapest;P311443   ;Mezei poszáta;Sylvia communis;Ismeretlen;2019.09.14
5909860;Példa Fanni;Gyûrûzés;Budapest;P311444   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.09.14
5909861;Példa Fanni;Gyûrûzés;Budapest;P311445   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.14
5909862;Példa Fanni;Gyûrûzés;Budapest;P311446   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.09.14
5909863;Példa Fanni;Gyûrûzés;Budapest;P311447   ;Mezei poszáta;Sylvia communis;Ismeretlen;2019.09.14
5909864;Példa Fanni;Gyûrûzés;Budapest;P311448   ;Barátposzáta;Sylvia atricapilla;Tojó;2019.09.14
5909865;Példa Fanni;Gyûrûzés;Budapest;P311449   ;Vörösbegy;Erithacus rubecula;Ismeretlen;2019.09.14
5909866;Példa Fanni;Gyûrûzés;Budapest;P311450   ;Barátposzáta;Sylvia atricapilla;Tojó;2019.09.14
5909867;Példa Fanni;Gyûrûzés;Budapest;P311451   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.14
5909868;Példa Fanni;Gyûrûzés;Budapest;P311452   ;Barátposzáta;Sylvia atricapilla;Tojó;2019.09.14
5909869;Példa Fanni;Gyûrûzés;Budapest;P311453   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.09.14
5909870;Példa Fanni;Gyûrûzés;Budapest;P311454   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.14
5909871;Példa Fanni;Gyûrûzés;Budapest;P311455   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.14
5909872;Példa Fanni;Gyûrûzés;Budapest;P311456   ;Vörösbegy;Erithacus rubecula;Ismeretlen;2019.09.14
5909873;Példa Fanni;Gyûrûzés;Budapest;P311457   ;Vörösbegy;Erithacus rubecula;Ismeretlen;2019.09.14
5909874;Példa Fanni;Gyûrûzés;Budapest;P311458   ;Barátposzáta;Sylvia atricapilla;Tojó;2019.09.14
5909875;Példa Fanni;Gyûrûzés;Budapest;P311459   ;Kék cinege;Parus caeruleus;Ismeretlen;2019.09.14
5909876;Példa Fanni;Gyûrûzés;Budapest;P311460   ;Mezei poszáta;Sylvia communis;Ismeretlen;2019.09.14
